doc,PC0,PC1,PC2,PC3,PC4
Liberia_1986,-0.0001693048445110437,-0.00026082973061191663,0.0001316106776352878,-0.00015291827130800616,-2.7553082775930765e-05
Libya_2011,-0.00019198116588444843,-0.0012376774289805596,0.0013677627191095913,-1.4820663450859047e-05,0.002082700950417
Liechtenstein_2003,-8.451063681028284e-05,-0.0005551907571745627,-0.0004024585397840493,6.806156445429773e-06,-7.727041148195213e-05
Lithuania_2006,-9.448397874298707e-05,-0.0005474234928451484,-0.0003721871176272972,3.718013835376137e-05,-9.653414476081357e-05
Luxembourg_2009,-0.00013130990998392055,-0.0008308138205064527,-0.0005855707591782473,5.4833376252022575e-05,7.945385101759107e-06
Macedonia_2011,-8.598977165655368e-05,-0.0006159913909086186,-0.00035140521267208285,4.3030311136023256e-05,-0.00018198310896384054
Madagascar_2010,-0.00014628757745325456,-0.000587812609287712,-0.0003611786926636271,1.7127034512280014e-05,2.7287827065408972e-05
Malawi_1999,-0.0003646924226150699,0.0014093408796217847,0.0001611218028205115,-9.766456403922946e-05,-0.0001766296395696675
Malaysia_1996,0.00342917644147999,0.0009631682427854302,9.637123918243482e-06,-9.602623892960136e-05,-0.0002767731755518631
Maldives_2008,-0.00021191547350283248,-0.001345162359511509,0.0035331473140371,9.910793084504106e-05,-0.0030783787627998356
Mali_1992,-0.0001286612675025848,-0.0006050008154616811,-0.0004111069341561942,3.6105336338384085e-05,-5.861722343855226e-05
Malta_2011,-0.0002286568944108809,0.0007581519903367372,-5.16302054355114e-05,-0.00032238050825499184,-4.973107607851397e-06
Marshall_Islands_1995,-0.00022154095781645153,0.00033245099583485856,-4.793422336213885e-05,-0.00010553766755554898,-4.3674026753126463e-05
Mauritania_2012,-0.00015254982953613816,-0.0005205648576175166,-0.0003697407373287634,3.687115776712767e-05,-1.3204793560708537e-05
Mauritius_2011,-0.0003918450851429456,0.0019579811626415275,0.00039546980252912314,-0.00020738463667196557,-8.693938474915661e-05
Mexico_2007,0.0007716198811778874,-0.0006922688901368154,0.00020776540671945133,-1.844578846213976e-05,0.00071591051640486
Micronesia_1990,-0.0003146792475117038,-0.0019427451684709417,0.00387111895093456,-0.00017772730396294742,0.005250336019971387
Moldova_2006,-0.00016364554232302643,-0.00037444332285887794,-0.00033372191930860096,0.00014710527202840877,-0.0003781252619320878
Monaco_2002,-0.0001474516249497525,-0.0003794122551681917,-0.00037670964441353434,-3.351397158793105e-05,-4.1130779316953134e-05
Mongolia_2001,-0.00022349314925248164,-0.00017144683181479384,-0.00036412465360869355,0.0002027387674413333,-0.000710185386681869
Montenegro_2007,-0.00015618239090460251,-0.00027758191729499777,-0.00036523992128228636,0.00020987969958003664,-0.0004532298313384655
Morocco_2011,-0.0001491090741033093,-0.0006558126840432358,-0.0004945690409103568,7.850340045960995e-05,-7.569407309628284e-05
Mozambique_2007,-0.00011319690490949935,-0.000612879765056934,-0.00038488143571082284,4.054426547965975e-05,-0.00011015478371936138
Myanmar_2008,-0.00017046698773971896,-0.00030030556841701355,-0.0003180046751420769,9.507134128112929e-05,-0.0002115027258583494
Namibia_2010,-0.0001859274524980885,-5.5234547523147026e-05,-0.00030490234450623307,0.00015637609015820117,-0.0003431085683144932
Nauru_1968,-0.00032360809692627855,0.0010471153939269563,-0.00024453040255818234,0.00021048179371526763,-0.0010376757287077303
