,term_str,x,y,cluster
1735,completed,-36.355667,-39.650547,"x -50 to -30, y -55 to -30"
1761,comprised,-35.249157,-31.185966,"x -50 to -30, y -55 to -30"
2375,compulsorily,-40.012974,-31.287712,"x -50 to -30, y -55 to -30"
2064,concluded,-35.496727,-45.023518,"x -50 to -30, y -55 to -30"
1058,conducted,-36.909653,-47.003403,"x -50 to -30, y -55 to -30"
2136,confirmed,-36.80891,-49.953472,"x -50 to -30, y -55 to -30"
857,constituted,-42.19119,-46.24426,"x -50 to -30, y -55 to -30"
2047,consulted,-34.299835,-44.98843,"x -50 to -30, y -55 to -30"
1830,continued,-31.741709,-40.498676,"x -50 to -30, y -55 to -30"
1596,convened,-31.047388,-47.345512,"x -50 to -30, y -55 to -30"
2606,convoked,-31.012434,-47.515137,"x -50 to -30, y -55 to -30"
2742,counted,-38.517162,-39.60138,"x -50 to -30, y -55 to -30"
2988,countersigned,-40.544334,-48.74434,"x -50 to -30, y -55 to -30"
3203,covered,-38.858097,-44.984676,"x -50 to -30, y -55 to -30"
972,created,-41.8346,-45.296967,"x -50 to -30, y -55 to -30"
2617,debated,-31.423548,-48.75564,"x -50 to -30, y -55 to -30"
1194,decided,-34.614277,-48.73643,"x -50 to -30, y -55 to -30"
405,declared,-38.10527,-50.14509,"x -50 to -30, y -55 to -30"
3504,decreed,-36.140526,-38.66952,"x -50 to -30, y -55 to -30"
2684,denied,-42.13567,-33.54539,"x -50 to -30, y -55 to -30"
2711,deposited,-32.27518,-46.80301,"x -50 to -30, y -55 to -30"
773,deprived,-42.98598,-35.73266,"x -50 to -30, y -55 to -30"
659,designated,-43.05074,-50.737675,"x -50 to -30, y -55 to -30"
3804,developed,-36.94467,-35.98694,"x -50 to -30, y -55 to -30"
1768,directed,-43.19579,-48.090065,"x -50 to -30, y -55 to -30"
2588,discharged,-46.603798,-40.356922,"x -50 to -30, y -55 to -30"
3861,discriminated,-31.51596,-42.220848,"x -50 to -30, y -55 to -30"
2939,discussed,-31.430815,-48.665478,"x -50 to -30, y -55 to -30"
1519,dismissed,-47.50775,-39.194702,"x -50 to -30, y -55 to -30"
3807,disposed,-34.40417,-36.936817,"x -50 to -30, y -55 to -30"
912,disqualified,-49.778725,-52.59486,"x -50 to -30, y -55 to -30"
2698,distributed,-38.6884,-34.674,"x -50 to -30, y -55 to -30"
1051,divided,-36.64802,-33.808956,"x -50 to -30, y -55 to -30"
2432,effected,-36.454338,-46.079395,"x -50 to -30, y -55 to -30"
97,elected,-43.284397,-52.4174,"x -50 to -30, y -55 to -30"
756,eligible,-49.785175,-52.595688,"x -50 to -30, y -55 to -30"
1820,employed,-37.04103,-31.135862,"x -50 to -30, y -55 to -30"
1801,empowered,-46.440273,-47.35682,"x -50 to -30, y -55 to -30"
556,enacted,-37.230495,-54.208557,"x -50 to -30, y -55 to -30"
3696,endorsed,-33.029816,-33.132244,"x -50 to -30, y -55 to -30"
3187,enforceable,-34.219418,-42.108387,"x -50 to -30, y -55 to -30"
2935,enforced,-38.184196,-41.30379,"x -50 to -30, y -55 to -30"
2120,engaged,-36.82633,-31.05199,"x -50 to -30, y -55 to -30"
3485,enquired,-35.979862,-33.648533,"x -50 to -30, y -55 to -30"
3369,ensured,-40.347893,-42.35706,"x -50 to -30, y -55 to -30"
1644,entered,-35.968914,-33.423546,"x -50 to -30, y -55 to -30"
267,entitled,-48.668118,-46.602055,"x -50 to -30, y -55 to -30"
3018,examined,-34.70881,-46.609676,"x -50 to -30, y -55 to -30"
3480,excepted,-47.315544,-35.927063,"x -50 to -30, y -55 to -30"
2449,excluded,-47.81122,-36.265354,"x -50 to -30, y -55 to -30"
1996,executed,-38.22056,-41.818855,"x -50 to -30, y -55 to -30"
2408,exempt,-48.1702,-35.73291,"x -50 to -30, y -55 to -30"
3855,exempted,-47.402927,-35.698906,"x -50 to -30, y -55 to -30"
2164,exercisable,-49.89818,-42.202785,"x -50 to -30, y -55 to -30"
3319,expelled,-47.272945,-35.38285,"x -50 to -30, y -55 to -30"
3282,expended,-33.96853,-35.860714,"x -50 to -30, y -55 to -30"
1308,expressed,-34.820145,-39.101166,"x -50 to -30, y -55 to -30"
3837,expropriated,-40.273052,-32.098595,"x -50 to -30, y -55 to -30"
1301,extended,-43.442844,-41.354584,"x -50 to -30, y -55 to -30"
3550,extradited,-45.509903,-34.86436,"x -50 to -30, y -55 to -30"
2305,filed,-32.867863,-44.788227,"x -50 to -30, y -55 to -30"
1476,filled,-40.87301,-50.55183,"x -50 to -30, y -55 to -30"
3487,financed,-39.84189,-36.763824,"x -50 to -30, y -55 to -30"
1095,fixed,-43.510548,-42.9493,"x -50 to -30, y -55 to -30"
1615,followed,-33.850697,-47.59082,"x -50 to -30, y -55 to -30"
1993,forbidden,-43.538586,-37.269028,"x -50 to -30, y -55 to -30"
1177,formed,-42.173546,-46.299267,"x -50 to -30, y -55 to -30"
3950,fulfilled,-36.726013,-39.0696,"x -50 to -30, y -55 to -30"
1254,governed,-39.13404,-47.08799,"x -50 to -30, y -55 to -30"
560,granted,-43.23691,-34.006077,"x -50 to -30, y -55 to -30"
398,guaranteed,-41.720715,-43.274036,"x -50 to -30, y -55 to -30"
2929,guided,-39.393448,-46.754868,"x -50 to -30, y -55 to -30"
3469,headed,-41.319214,-48.598995,"x -50 to -30, y -55 to -30"
1415,heard,-34.01218,-46.376553,"x -50 to -30, y -55 to -30"
