term_str,x,y,cluster
107,8.611674,-57.145203,"x 0 to 20, y -80 to -55"
108,10.220478,-60.693913,"x 0 to 20, y -80 to -55"
109,9.619639,-60.484184,"x 0 to 20, y -80 to -55"
11,11.741762,-72.70032,"x 0 to 20, y -80 to -55"
110,5.8028464,-65.51526,"x 0 to 20, y -80 to -55"
111,5.620598,-60.007862,"x 0 to 20, y -80 to -55"
112,5.741164,-58.41837,"x 0 to 20, y -80 to -55"
113,8.943716,-58.633926,"x 0 to 20, y -80 to -55"
114,10.215233,-58.039375,"x 0 to 20, y -80 to -55"
115,7.133599,-65.52662,"x 0 to 20, y -80 to -55"
116,11.426133,-57.490532,"x 0 to 20, y -80 to -55"
117,10.201255,-56.94762,"x 0 to 20, y -80 to -55"
118,10.395782,-58.38858,"x 0 to 20, y -80 to -55"
119,11.0603285,-56.47859,"x 0 to 20, y -80 to -55"
12,13.293319,-72.952156,"x 0 to 20, y -80 to -55"
120,16.541737,-64.83185,"x 0 to 20, y -80 to -55"
121,11.999285,-59.53147,"x 0 to 20, y -80 to -55"
123,11.32285,-56.000824,"x 0 to 20, y -80 to -55"
124,10.623234,-57.804115,"x 0 to 20, y -80 to -55"
125,10.542151,-55.703445,"x 0 to 20, y -80 to -55"
126,9.501972,-59.048687,"x 0 to 20, y -80 to -55"
127,7.09432,-59.488243,"x 0 to 20, y -80 to -55"
129,6.7808557,-59.790096,"x 0 to 20, y -80 to -55"
13,11.607851,-72.19637,"x 0 to 20, y -80 to -55"
132,9.809304,-56.13744,"x 0 to 20, y -80 to -55"
137,9.603417,-55.544857,"x 0 to 20, y -80 to -55"
14,11.940369,-71.37955,"x 0 to 20, y -80 to -55"
15,14.784535,-71.99438,"x 0 to 20, y -80 to -55"
150,15.227443,-63.02744,"x 0 to 20, y -80 to -55"
153,14.664509,-56.59664,"x 0 to 20, y -80 to -55"
159,13.78335,-55.330673,"x 0 to 20, y -80 to -55"
16,12.99864,-71.39757,"x 0 to 20, y -80 to -55"
17,11.771663,-71.1477,"x 0 to 20, y -80 to -55"
18,15.295957,-71.19766,"x 0 to 20, y -80 to -55"
19,13.260657,-69.20513,"x 0 to 20, y -80 to -55"
2,9.330779,-75.5882,"x 0 to 20, y -80 to -55"
20,14.673228,-71.38016,"x 0 to 20, y -80 to -55"
2001,11.082847,-66.29175,"x 0 to 20, y -80 to -55"
21,14.88605,-70.99528,"x 0 to 20, y -80 to -55"
22,10.654613,-69.85105,"x 0 to 20, y -80 to -55"
23,11.246662,-70.1546,"x 0 to 20, y -80 to -55"
24,15.305121,-70.35187,"x 0 to 20, y -80 to -55"
25,14.591435,-70.956314,"x 0 to 20, y -80 to -55"
26,13.090802,-69.805244,"x 0 to 20, y -80 to -55"
27,13.0480175,-69.92719,"x 0 to 20, y -80 to -55"
28,12.904099,-70.07211,"x 0 to 20, y -80 to -55"
29,12.823823,-69.96005,"x 0 to 20, y -80 to -55"
3,9.174689,-75.09985,"x 0 to 20, y -80 to -55"
30,17.6842,-69.0275,"x 0 to 20, y -80 to -55"
31,13.981207,-69.392845,"x 0 to 20, y -80 to -55"
32,9.60635,-68.37521,"x 0 to 20, y -80 to -55"
33,10.167167,-67.90872,"x 0 to 20, y -80 to -55"
34,10.11585,-67.94782,"x 0 to 20, y -80 to -55"
35,16.350397,-66.2369,"x 0 to 20, y -80 to -55"
36,7.4748535,-67.13568,"x 0 to 20, y -80 to -55"
37,8.727988,-66.87153,"x 0 to 20, y -80 to -55"
38,9.405637,-67.36978,"x 0 to 20, y -80 to -55"
39,10.6391,-66.31101,"x 0 to 20, y -80 to -55"
4,9.717464,-75.34071,"x 0 to 20, y -80 to -55"
40,16.862335,-66.03589,"x 0 to 20, y -80 to -55"
41,9.17922,-66.13477,"x 0 to 20, y -80 to -55"
42,6.7603197,-64.823296,"x 0 to 20, y -80 to -55"
43,10.282838,-64.218895,"x 0 to 20, y -80 to -55"
44,12.16766,-67.57401,"x 0 to 20, y -80 to -55"
45,17.70617,-67.31401,"x 0 to 20, y -80 to -55"
46,8.746797,-63.952297,"x 0 to 20, y -80 to -55"
47,9.820877,-63.237064,"x 0 to 20, y -80 to -55"
48,18.0616,-67.588745,"x 0 to 20, y -80 to -55"
49,9.233821,-65.00273,"x 0 to 20, y -80 to -55"
5,9.714649,-75.04732,"x 0 to 20, y -80 to -55"
50,14.344163,-64.43295,"x 0 to 20, y -80 to -55"
51,8.96561,-64.522095,"x 0 to 20, y -80 to -55"
52,9.217768,-64.21649,"x 0 to 20, y -80 to -55"
53,7.1737146,-61.581898,"x 0 to 20, y -80 to -55"
54,7.8501053,-63.31169,"x 0 to 20, y -80 to -55"
55,8.086191,-63.206238,"x 0 to 20, y -80 to -55"
56,7.1045203,-64.51763,"x 0 to 20, y -80 to -55"
57,7.6225076,-63.775227,"x 0 to 20, y -80 to -55"
58,8.410337,-63.984543,"x 0 to 20, y -80 to -55"
59,9.392297,-66.15646,"x 0 to 20, y -80 to -55"
6,9.9846,-74.861404,"x 0 to 20, y -80 to -55"
60,17.944754,-67.64876,"x 0 to 20, y -80 to -55"
61,9.377864,-61.570225,"x 0 to 20, y -80 to -55"
62,10.743434,-59.831852,"x 0 to 20, y -80 to -55"
63,5.8973103,-62.1764,"x 0 to 20, y -80 to -55"
64,7.1769724,-62.504726,"x 0 to 20, y -80 to -55"
65,15.651089,-65.713295,"x 0 to 20, y -80 to -55"
66,7.4566293,-66.434906,"x 0 to 20, y -80 to -55"
67,12.6917925,-58.67565,"x 0 to 20, y -80 to -55"
68,7.5815353,-57.09321,"x 0 to 20, y -80 to -55"
69,8.606265,-58.99046,"x 0 to 20, y -80 to -55"
7,10.313364,-74.55923,"x 0 to 20, y -80 to -55"
70,16.20039,-65.642746,"x 0 to 20, y -80 to -55"
71,8.244692,-61.41564,"x 0 to 20, y -80 to -55"
72,15.731723,-64.09138,"x 0 to 20, y -80 to -55"
73,10.215159,-61.38145,"x 0 to 20, y -80 to -55"
74,10.043252,-62.46111,"x 0 to 20, y -80 to -55"
75,15.942508,-65.58273,"x 0 to 20, y -80 to -55"
76,9.046467,-56.885258,"x 0 to 20, y -80 to -55"
77,11.480462,-63.039665,"x 0 to 20, y -80 to -55"
78,7.964382,-64.40248,"x 0 to 20, y -80 to -55"
79,8.127543,-61.732525,"x 0 to 20, y -80 to -55"
8,11.304119,-73.31835,"x 0 to 20, y -80 to -55"
80,15.074208,-63.834923,"x 0 to 20, y -80 to -55"
81,9.822819,-57.861187,"x 0 to 20, y -80 to -55"
82,10.431214,-59.841812,"x 0 to 20, y -80 to -55"
83,7.880578,-56.07118,"x 0 to 20, y -80 to -55"
84,12.562236,-60.83748,"x 0 to 20, y -80 to -55"
85,11.606369,-60.731052,"x 0 to 20, y -80 to -55"
86,11.186632,-62.27407,"x 0 to 20, y -80 to -55"
87,7.9309464,-65.48492,"x 0 to 20, y -80 to -55"
88,10.012513,-58.951187,"x 0 to 20, y -80 to -55"
89,9.911141,-62.995087,"x 0 to 20, y -80 to -55"
